IncidntNum,Descript,DayOfWeek,Date,Time
160240495,FOUND PROPERTY,Tuesday,03/22/2016 12:00:00 AM,20:41
160109879,FOUND PROPERTY,Saturday,02-06-2016 00:00,17:30
160112850,FOUND PROPERTY,Sunday,02-07-2016 00:00,16:01
160112979,FOUND PROPERTY,Sunday,02-07-2016 00:00,02:30
160223316,FOUND PROPERTY,Thursday,03/17/2016 12:00:00 AM,07:40
160247980,FOUND PROPERTY,Friday,03/25/2016 12:00:00 AM,14:17
160248251,FOUND PROPERTY,Tuesday,03/22/2016 12:00:00 AM,12:00
160248342,FOUND PROPERTY,Friday,03/25/2016 12:00:00 AM,15:30
160224580,FOUND PROPERTY,Thursday,03/17/2016 12:00:00 AM,14:55
160250256,FOUND PROPERTY,Saturday,03/26/2016 12:00:00 AM,06:30
160737828,FOUND PROPERTY,Sunday,09-11-2016 00:00,13:30
160251072,FOUND PROPERTY,Saturday,03/26/2016 12:00:00 AM,10:00
160116755,FOUND PROPERTY,Monday,02-08-2016 00:00,19:00
160226445,FOUND PROPERTY,Friday,03/18/2016 12:00:00 AM,08:44
160252713,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,08:10
160229659,FOUND PROPERTY,Saturday,03/19/2016 12:00:00 AM,08:33
160255870,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,22:15
160757713,FOUND PROPERTY,Sunday,09/18/2016 12:00:00 AM,11:27
160121635,FOUND PROPERTY,Tuesday,02-09-2016 00:00,11:00
160762104,FOUND PROPERTY,Monday,09/19/2016 12:00:00 AM,19:08
160258119,FOUND PROPERTY,Monday,03/28/2016 12:00:00 AM,12:30
160258307,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,09:15
160233133,FOUND PROPERTY,Sunday,03/20/2016 12:00:00 AM,13:06
160768823,FOUND PROPERTY,Wednesday,09/21/2016 12:00:00 AM,13:00
160124059,FOUND PROPERTY,Friday,02-05-2016 00:00,16:30
160233951,FOUND PROPERTY,Sunday,03/20/2016 12:00:00 AM,14:00
160261485,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,17:30
160261792,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,13:00
160262091,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,14:00
160738729,FOUND PROPERTY,Friday,09-09-2016 00:00,19:00
160262251,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,19:00
160297731,FOUND PROPERTY,Monday,04-11-2016 00:00,10:00
160262706,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,12:15
160262712,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,15:03
160263124,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,16:56
160263635,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,14:50
160263726,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,20:00
160747009,FOUND PROPERTY,Wednesday,09/14/2016 12:00:00 AM,15:30
160263782,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,20:00
160265089,FOUND PROPERTY,Thursday,03/31/2016 12:00:00 AM,11:05
160777686,FOUND PROPERTY,Saturday,09/24/2016 12:00:00 AM,23:00
160130454,FOUND PROPERTY,Saturday,02/13/2016 12:00:00 AM,12:00
160267085,FOUND PROPERTY,Thursday,03/31/2016 12:00:00 AM,15:20
160267251,FOUND PROPERTY,Thursday,03/31/2016 12:00:00 AM,16:00
160806746,FOUND PROPERTY,Tuesday,10-04-2016 00:00,12:30
160268174,FOUND PROPERTY,Friday,04-01-2016 00:00,11:45
160268572,FOUND PROPERTY,Friday,04-01-2016 00:00,08:00
160268607,FOUND PROPERTY,Friday,04-01-2016 00:00,13:30
160269144,FOUND PROPERTY,Friday,04-01-2016 00:00,14:45
160269166,FOUND PROPERTY,Friday,04-01-2016 00:00,16:30
160269702,FOUND PROPERTY,Friday,04-01-2016 00:00,19:15
160133395,FOUND PROPERTY,Saturday,02/13/2016 12:00:00 AM,00:01
160269893,FOUND PROPERTY,Friday,04-01-2016 00:00,19:30
160270464,FOUND PROPERTY,Saturday,04-02-2016 00:00,00:15
160270925,FOUND PROPERTY,Saturday,04-02-2016 00:00,07:00
160270969,FOUND PROPERTY,Saturday,04-02-2016 00:00,07:30
160265415,FOUND PROPERTY,Friday,03/25/2016 12:00:00 AM,07:45
160271804,FOUND PROPERTY,Saturday,04-02-2016 00:00,12:00
160136775,FOUND PROPERTY,Monday,02/15/2016 12:00:00 AM,20:22
160137676,FOUND PROPERTY,Tuesday,02/16/2016 12:00:00 AM,07:00
160278907,FOUND PROPERTY,Monday,04-04-2016 00:00,19:30
160279507,FOUND PROPERTY,Monday,03/28/2016 12:00:00 AM,19:00
