IncidntNum,Descript,DayOfWeek,Date,Time
160909384,LOST PROPERTY,Tuesday,11-08-2016 00:00,05:15
160909710,LOST PROPERTY,Monday,11-07-2016 00:00,07:30
160910240,LOST PROPERTY,Tuesday,11-08-2016 00:00,11:45
160911129,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,23:00
160913222,LOST PROPERTY,Wednesday,11-09-2016 00:00,10:30
160913636,LOST PROPERTY,Sunday,09/25/2016 12:00:00 AM,12:00
160913664,LOST PROPERTY,Wednesday,11-09-2016 00:00,11:47
160914167,LOST PROPERTY,Wednesday,11-09-2016 00:00,15:30
160914236,LOST PROPERTY,Monday,11-07-2016 00:00,17:00
160914327,LOST PROPERTY,Wednesday,11-09-2016 00:00,17:45
160914361,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,22:00
160914634,LOST PROPERTY,Saturday,11-05-2016 00:00,16:30
160915864,LOST PROPERTY,Friday,11-04-2016 00:00,14:00
160916050,LOST PROPERTY,Monday,11-07-2016 00:00,13:00
160916351,LOST PROPERTY,Thursday,11-10-2016 00:00,13:55
160456125,LOST PROPERTY,Friday,06-03-2016 00:00,23:00
160917296,LOST PROPERTY,Thursday,11-10-2016 00:00,19:00
160917804,LOST PROPERTY,Wednesday,11-09-2016 00:00,18:00
160918313,LOST PROPERTY,Thursday,11-10-2016 00:00,06:00
160918448,LOST PROPERTY,Sunday,05-01-2016 00:00,08:00
160918830,LOST PROPERTY,Wednesday,11-09-2016 00:00,13:00
161032669,LOST PROPERTY,Friday,12/16/2016 12:00:00 AM,19:00
160919452,LOST PROPERTY,Thursday,11-10-2016 00:00,11:00
160919781,LOST PROPERTY,Friday,11-11-2016 00:00,14:00
160921617,LOST PROPERTY,Friday,11-11-2016 00:00,11:59
160922041,LOST PROPERTY,Friday,11-11-2016 00:00,16:00
160922091,LOST PROPERTY,Friday,11-11-2016 00:00,20:30
160923453,LOST PROPERTY,Saturday,11-12-2016 00:00,18:00
160458557,LOST PROPERTY,Saturday,06-04-2016 00:00,15:00
160924677,LOST PROPERTY,Tuesday,11-08-2016 00:00,08:00
160924928,LOST PROPERTY,Monday,11-07-2016 00:00,15:00
160926811,LOST PROPERTY,Sunday,11/13/2016 12:00:00 AM,10:00
160458933,LOST PROPERTY,Saturday,06-04-2016 00:00,15:00
160927091,LOST PROPERTY,Friday,11-04-2016 00:00,13:00
160927756,LOST PROPERTY,Thursday,11-10-2016 00:00,23:35
160930204,LOST PROPERTY,Monday,11/14/2016 12:00:00 AM,15:00
160930737,LOST PROPERTY,Sunday,11/13/2016 12:00:00 AM,13:00
160930828,LOST PROPERTY,Thursday,05-12-2016 00:00,09:00
160931224,LOST PROPERTY,Sunday,11/13/2016 12:00:00 AM,23:45
160932501,LOST PROPERTY,Wednesday,11/16/2016 12:00:00 AM,06:00
160932608,LOST PROPERTY,Tuesday,11/15/2016 12:00:00 AM,16:45
160932799,LOST PROPERTY,Monday,11-07-2016 00:00,07:00
160932868,LOST PROPERTY,Tuesday,11/15/2016 12:00:00 AM,12:00
160933032,LOST PROPERTY,Tuesday,03/15/2016 12:00:00 AM,12:00
160933769,LOST PROPERTY,Friday,11-04-2016 00:00,15:00
160935834,LOST PROPERTY,Wednesday,11/16/2016 12:00:00 AM,12:30
160936042,LOST PROPERTY,Wednesday,11/16/2016 12:00:00 AM,21:00
160936218,LOST PROPERTY,Wednesday,11/16/2016 12:00:00 AM,09:45
160936741,LOST PROPERTY,Monday,11-07-2016 00:00,16:00
160936923,LOST PROPERTY,Saturday,11-05-2016 00:00,19:48
160937664,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,12:30
160937755,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,15:30
160938048,LOST PROPERTY,Tuesday,11/15/2016 12:00:00 AM,15:15
160938264,LOST PROPERTY,Wednesday,11/16/2016 12:00:00 AM,23:00
160938349,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,20:00
160939438,LOST PROPERTY,Wednesday,11-09-2016 00:00,19:00
160939444,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,10:00
160939858,LOST PROPERTY,Saturday,10-08-2016 00:00,22:30
160940093,LOST PROPERTY,Wednesday,11-09-2016 00:00,13:00
160940504,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,19:00
160460687,LOST PROPERTY,Friday,06-03-2016 00:00,17:00
160941615,LOST PROPERTY,Friday,11/18/2016 12:00:00 AM,21:00
160941831,LOST PROPERTY,Thursday,11/17/2016 12:00:00 AM,21:50
160943417,LOST PROPERTY,Friday,11/18/2016 12:00:00 AM,11:00
160943702,LOST PROPERTY,Friday,11/18/2016 12:00:00 AM,13:00
160943780,LOST PROPERTY,Saturday,11/19/2016 12:00:00 AM,16:30
160945043,LOST PROPERTY,Saturday,11/19/2016 12:00:00 AM,12:00
160945645,LOST PROPERTY,Sunday,11/20/2016 12:00:00 AM,02:00
160946875,LOST PROPERTY,Sunday,11/20/2016 12:00:00 AM,21:40
160947384,LOST PROPERTY,Sunday,11/20/2016 12:00:00 AM,21:00
160947798,LOST PROPERTY,Sunday,08/14/2016 12:00:00 AM,12:30
160948047,LOST PROPERTY,Sunday,11/20/2016 12:00:00 AM,17:45
160948053,LOST PROPERTY,Tuesday,11-08-2016 00:00,15:00
160948138,LOST PROPERTY,Monday,11-07-2016 00:00,16:00
160949051,LOST PROPERTY,Monday,11/21/2016 12:00:00 AM,11:15
160950763,LOST PROPERTY,Saturday,11-12-2016 00:00,20:30
160951476,LOST PROPERTY,Tuesday,11/15/2016 12:00:00 AM,17:00
160951670,LOST PROPERTY,Tuesday,11/22/2016 12:00:00 AM,04:00
166006443,LOST PROPERTY,Thursday,01-07-2016 00:00,10:22
160952189,LOST PROPERTY,Monday,11/21/2016 12:00:00 AM,22:00
160952979,LOST PROPERTY,Tuesday,11/22/2016 12:00:00 AM,18:30
160953535,LOST PROPERTY,Wednesday,11/23/2016 12:00:00 AM,03:00
160953648,LOST PROPERTY,Wednesday,11/23/2016 12:00:00 AM,07:36
160953892,LOST PROPERTY,Wednesday,11-02-2016 00:00,12:00
160954806,LOST PROPERTY,Tuesday,06/21/2016 12:00:00 AM,15:00
160955490,LOST PROPERTY,Tuesday,11/22/2016 12:00:00 AM,12:15
160956824,LOST PROPERTY,Wednesday,11/23/2016 12:00:00 AM,17:00
160956852,LOST PROPERTY,Friday,11/18/2016 12:00:00 AM,15:00
160957060,LOST PROPERTY,Tuesday,11/22/2016 12:00:00 AM,22:00
160957565,LOST PROPERTY,Monday,11/21/2016 12:00:00 AM,23:00
160957816,LOST PROPERTY,Thursday,11/24/2016 12:00:00 AM,15:20
160959044,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,12:00
160959260,LOST PROPERTY,Monday,09/26/2016 12:00:00 AM,12:00
160959668,LOST PROPERTY,Thursday,11/24/2016 12:00:00 AM,16:00
160959793,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,23:30
160960358,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,19:55
160960449,LOST PROPERTY,Thursday,11/24/2016 12:00:00 AM,23:00
160960615,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,03:00
160961334,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,16:45
160962047,LOST PROPERTY,Monday,11/14/2016 12:00:00 AM,09:00
160962213,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,12:30
160962310,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,20:00
160963114,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,20:10
160964247,LOST PROPERTY,Sunday,11/27/2016 12:00:00 AM,07:10
160964322,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,22:00
160964582,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,02:00
160965126,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,14:00
160965756,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,19:00
166032250,LOST PROPERTY,Monday,02-08-2016 00:00,07:07
166032294,LOST PROPERTY,Friday,02-05-2016 00:00,21:01
160967796,LOST PROPERTY,Thursday,11/24/2016 12:00:00 AM,21:00
160968409,LOST PROPERTY,Tuesday,09/20/2016 12:00:00 AM,00:01
160970181,LOST PROPERTY,Saturday,11/26/2016 12:00:00 AM,11:00
160970573,LOST PROPERTY,Saturday,11-12-2016 00:00,07:30
160970802,LOST PROPERTY,Monday,11/28/2016 12:00:00 AM,17:30
160971032,LOST PROPERTY,Thursday,09-01-2016 00:00,12:00
160103586,LOST PROPERTY,Monday,02-01-2016 00:00,13:30
160466588,LOST PROPERTY,Tuesday,06-07-2016 00:00,06:15
160972773,LOST PROPERTY,Tuesday,11/29/2016 12:00:00 AM,01:00
160973674,LOST PROPERTY,Friday,11/25/2016 12:00:00 AM,21:00
160973947,LOST PROPERTY,Wednesday,11/30/2016 12:00:00 AM,11:31
160976054,LOST PROPERTY,Thursday,12-01-2016 00:00,06:00
166045645,LOST PROPERTY,Saturday,02/13/2016 12:00:00 AM,22:41
160976913,LOST PROPERTY,Sunday,11/27/2016 12:00:00 AM,00:54
160977121,LOST PROPERTY,Thursday,12-01-2016 00:00,00:01
160977654,LOST PROPERTY,Wednesday,11/30/2016 12:00:00 AM,20:00
160973527,LOST PROPERTY,Friday,08-12-2016 00:00,15:00
166048310,LOST PROPERTY,Wednesday,02/17/2016 12:00:00 AM,12:30
160978840,LOST PROPERTY,Friday,12-02-2016 00:00,03:00
160979638,LOST PROPERTY,Thursday,12-01-2016 00:00,11:00
160979898,LOST PROPERTY,Thursday,12-01-2016 00:00,14:00
160980146,LOST PROPERTY,Friday,12-02-2016 00:00,15:30
160980384,LOST PROPERTY,Monday,11/28/2016 12:00:00 AM,08:00
160980663,LOST PROPERTY,Friday,12-02-2016 00:00,15:30
160981940,LOST PROPERTY,Wednesday,11/30/2016 12:00:00 AM,20:45
160982089,LOST PROPERTY,Friday,12-02-2016 00:00,18:30
160982578,LOST PROPERTY,Thursday,12-01-2016 00:00,19:00
160982631,LOST PROPERTY,Friday,12-02-2016 00:00,23:30
160982835,LOST PROPERTY,Thursday,12-01-2016 00:00,17:30
160983093,LOST PROPERTY,Tuesday,11/29/2016 12:00:00 AM,01:30
160984609,LOST PROPERTY,Saturday,12-03-2016 00:00,22:22
